Item name,braised beef used (g),Braised Chicken(g),Braised Pork(g),Egg(count),Rice(g),Ramen (count),Rice Noodles(g),chicken thigh (pcs),Chicken Wings (pcs),flour (g),Pickle Cabbage,Green Onion,Cilantro,White onion,Peas(g),Carrot(g),Boychoy(g),Tapioca Starch
Beef Tossed Ramen,140.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,50.0,20.0,20.0,0.0,0.0,0.0,50.0,0.0
Beef Ramen,140.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0
Beef Fried Rice,100.0,0.0,0.0,1.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,10.0,10.0,0.0,0.0
Pork Fried Rice,0.0,0.0,100.0,1.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,10.0,10.0,0.0,0.0
Chicken Fried Rice,0.0,100.0,0.0,1.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,10.0,10.0,0.0,0.0
Fried Wings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pork Tossed Ramen,0.0,0.0,140.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,50.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0
Pork Ramen,0.0,0.0,140.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,50.0,0.0
Chicken Tossed Ramen,0.0,140.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,50.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0
Chicken Ramen,0.0,140.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,50.0,0.0
Chicken Cutlet,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0
Beef Tossed Rice Noodles,140.0,0.0,0.0,0.5,0.0,0.0,300.0,0.0,0.0,0.0,50.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0
Pork Tossed Rice Noodles,0.0,0.0,140.0,0.5,0.0,0.0,300.0,0.0,0.0,0.0,50.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0
Chicken Tossed Rice Noodles,0.0,140.0,0.0,0.5,0.0,0.0,300.0,0.0,0.0,0.0,50.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0
Beef Rice Noodle Soup,140.0,0.0,0.0,0.5,0.0,0.0,300.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,50.0,0.0
Pork Rice Noodle Soup,0.0,0.0,140.0,0.5,0.0,0.0,300.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,50.0,0.0
Chicken Rice Noodle Soup,0.0,140.0,0.0,0.5,0.0,0.0,300.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,50.0,0.0